seed,fold,best_c,best_class_weight,best_threshold,n_features_selected,lasso_c_chosen,n_test_transcripts,test_true_positive,test_false_positive,test_false_negative,test_true_negative,test_recall,val_recall,test_precision,val_precision,test_f1,val_f1,test_f2,val_f2,test_average_precision,val_average_precision
8,1,1.5,balanced,0.3,768,,10,118,154,14,436,0.8939393939393939,0.9230769230769231,0.4338235294117647,0.4752475247524752,0.5841584158415841,0.6274509803921569,0.7375,0.7766990291262136,0.7299815773458208,0.7971274288755769
8,2,1.5,balanced,0.3,768,,9,128,194,12,381,0.9142857142857143,0.952755905511811,0.39751552795031053,0.4230769230769231,0.5541125541125541,0.585956416464891,0.7256235827664399,0.7619647355163728,0.7813757501397676,0.7320508724895036
8,3,2.0,balanced,0.25,768,,10,98,185,6,433,0.9423076923076923,0.9142857142857143,0.3462897526501767,0.4266666666666667,0.5064599483204134,0.5818181818181818,0.7010014306151645,0.7441860465116279,0.6260029292903899,0.7317352811360667
8,4,1.0,balanced,0.3,768,,10,154,173,8,387,0.9506172839506173,0.9,0.4709480122324159,0.39901477832512317,0.6298568507157464,0.552901023890785,0.7897435897435897,0.7193605683836589,0.8178661583424947,0.6824487023612089
8,5,1.5,balanced,0.3,768,,10,166,173,7,384,0.9595375722543352,0.900990099009901,0.4896755162241888,0.4666666666666667,0.6484375,0.6148648648648649,0.8050436469447139,0.7595993322203672,0.799040172719632,0.7354990465809229
9,1,2.0,balanced,0.4,768,,10,122,146,30,424,0.8026315789473685,0.8532110091743119,0.4552238805970149,0.5224719101123596,0.580952380952381,0.6480836236933798,0.6963470319634704,0.757328990228013,0.754599037482204,0.7513399756911165
9,2,1.5,balanced,0.3,768,,9,111,162,13,429,0.8951612903225806,0.9259259259259259,0.4065934065934066,0.5357142857142857,0.5591939546599496,0.6787330316742082,0.7217165149544863,0.8081896551724138,0.7586996210690902,0.7264279525867775
9,3,2.0,balanced,0.45,768,,10,65,72,24,561,0.7303370786516854,0.8559322033898306,0.4744525547445255,0.5642458100558659,0.5752212389380531,0.6801346801346801,0.6592292089249493,0.7757296466973886,0.58779422047503,0.8308036202811709
9,4,1.5,balanced,0.5,768,,10,156,102,21,443,0.8813559322033898,0.7974683544303798,0.6046511627906976,0.5384615384615384,0.7172413793103448,0.6428571428571429,0.8074534161490683,0.7274826789838337,0.8207238108572186,0.7710741788249265
9,5,2.0,balanced,0.45,768,,10,148,124,21,437,0.8757396449704142,0.9076923076923077,0.5441176470588235,0.5108225108225108,0.671201814058957,0.6537396121883656,0.7805907172995781,0.7856191744340879,0.7703574117337527,0.7759971943780399
10,1,2.0,balanced,0.25,768,,10,132,159,8,423,0.9428571428571428,0.971830985915493,0.4536082474226804,0.34673366834170855,0.6125290023201856,0.5111111111111111,0.7755581668625147,0.7142857142857143,0.7509457745562388,0.6309643664845157
10,2,1.5,balanced,0.35,768,,9,123,170,17,405,0.8785714285714286,0.9210526315789473,0.4197952218430034,0.49295774647887325,0.5681293302540416,0.6422018348623854,0.7209847596717468,0.7847533632286996,0.7834157343377024,0.743510348862741
10,3,2.0,balanced,0.3,768,,10,97,174,11,440,0.8981481481481481,0.9344262295081968,0.35793357933579334,0.3825503355704698,0.5118733509234829,0.5428571428571428,0.689900426742532,0.7251908396946565,0.6621760565692628,0.617091724381007
10,4,0.5,balanced,0.4,768,,10,140,127,14,441,0.9090909090909091,0.890625,0.5243445692883895,0.40714285714285714,0.665083135391924,0.5588235294117647,0.7927519818799547,0.7196969696969697,0.8246738407360752,0.6689047691170372
10,5,1.0,balanced,0.3,768,,10,159,184,10,377,0.9408284023668639,0.9137931034482759,0.46355685131195334,0.5,0.62109375,0.6463414634146342,0.7801766437684003,0.7840236686390533,0.7678953443873759,0.6942548948783183
